,answerid,parentid,username,userid,context,time,vote
126,72764274,47457105,Kristina,19421441,For me this problem was resolved by just installing older version of testng. Looks like It compiles with my Java 8,2022-06-26 18:42:48Z,0
127,72910491,47457105,SKO,11442980,"If you're using IntelliJ IDEA and having this error, try this.
1. Command + , (Open Preferences)
2. Build, Execution, Deployment > Build Tools > Gradle
3. Gradle JVM > Change it to a proper version",2022-07-08 11:06:16Z,0
128,73307678,47457105,Jaikish Pai,5639251,"Check the version of Java configured in IDE by navigating to Settings -> Build, Execution, Deployment > Build Tools > Gradle",2022-08-10 14:01:30Z,0
129,73418257,47457105,Ninja,1323374,"In my case, I use the IntellJ Idea and set JDK11 as my SDK and JDK17 in gradle setting.
Just update my SDK as JDK17, it was solved
Check the JDK in ""Project Setting""(CMD+;) -> SDK
with
the gradle JVM in ""Preference""(CMD+,) -> Build Tools -> gradle JVM",2022-08-19 14:23:17Z,0
130,73525416,47457105,Jatin,14930106,"Faced the same issue when initialise my project from spring initizer We need to match the version of java.sourceCompatibility and jvmTarget used for run and compile in ""build.gradle.kt"" file.",2022-08-29 07:27:01Z,0
131,74177706,47457105,Happy Lee,16488841,"Last week, I updated my Mac's Android Studio from 2021.2.1 to 2021.3.1. Then our project was built failed for the similar reason:
Cause: com/android/tools/idea/gradle/run/OutputBuildAction has been compiled by a more recent version of the Java Runtime (class file version 55.0), this version of the Java Runtime only recognizes class file versions up to 53.0
I found several discussion on the Jetbrains YouTrack Forum: Failed to run Android project in the Idea 2020.3 EAP (OutputBuildAction has been compiled by a more recent version of the Java Runtime (class file version 55.0)). The suggested workaround is to update the defined Gradle JDK version to JDK11, but many Android projects don't support Gradle JDK11, so does mine.
Another solution is to downgrade Android Studio from 2021.3.1 to 2021.2.1, and it worked for me. Hope it helps.",2022-10-24 07:20:24Z,0
132,74420876,47457105,The beginner guy,15316123,"it looks like everyone is using windows for development, but if you use Linux, lower your Java version. maybe install JDK 8, the version table provided by @Nithin should give you an idea of which version you want to install.",2022-11-13 12:21:43Z,0
133,74581322,47457105,Pranab Kumar Nath,20605815,"After configuring the version of the compiler to 1.8 (your required version), try the older version of spring boot currently it is 3.0.0 by default but you can try 2.7.6 instead.
enter image description here",2022-11-26 10:25:35Z,0
134,,74584860,,,,,
135,74584908,74584859,matt,341994,"Basically this is the same as the question I answer here.
Foundation is not part of Swift, it's part of Cocoa, the older Objective-C library that preceded Swift by many, many years. Foundation's version of a string is NSString. But Swift String is ""bridged"" to NSString, so as soon as you import Foundation, a bunch of NSString methods spring to life as if they were part of Swift String even though they are not. In your case, you actually end up calling a completely different method which, as you've discovered, gives different results.
A good way to see this is to command-click on the term contains in your code (or even better, option-click it and then click Open in Developer Documentation):
If you have not imported Foundation (or UIKit), you jump to Swift String's contains.
If you have imported Foundation, you jump to Foundation's contains.
As for this part:
shouldn't the language indicate this somehow
I'm afraid Stack Overflow is not very good on ""should"" questions. I would say, yes, this is a little maddening, but it's part of the price we pay for the easy and seamless integration of Swift into the world of Cocoa programming. You could argue that the Swift people should not have named their method contains, but that train has left the station, and besides, it's a name that perfectly indicates what the method does.
Another thing to keep in mind is that you would probably never really use Swift except in the presence of Foundation (perhaps because you're in the presence of UIKit or SwiftUI or AppKit) so in practical terms the issue wouldn't arise. You've hit an unusual edge-case, which is commendable but, ex hypothesi, unusual.
To make things even more complicated, I think the Swift library method you encountered may have been just introduced as part of Xcode 14 and Swift 5.7 etc. See https://developer.apple.com/videos/play/wwdc2022/110354/?time=1415 for the WWDC '22 discussion of new String features. In earlier versions of Xcode, the phrase ""a"".contains("""") would not even have compiled in the absence of Foundation — and so the problem would never have arisen!",2022-11-26 19:43:39Z,8
136,,74584858,,,,,
137,,74584857,,,,,
138,74584911,74584856,Chris,15261315,"From the OCaml Platform page:
Disable code lens
Code lens are type information displayed over a symbol. In the screenshot below, code lens is grey text t -> Sandbox.t.
You can disable code lens for all extensions, i.e., in whole VS Code, set this settings in your settings.json:
""editor.codeLens"": false
Or if you only want to disable it for OCaml:
""[ocaml]"": {  ""editor.codeLens"": false }",2022-11-26 19:10:51Z,1
139,74585241,74584855,prudenko,3271168,"Based on the documentation of the vandermonde matrix you can construct it in the following way:
np.vander(B, increasing=True) == np.column_stack([B**(i) for i in range(len(B))])
So your optimization would be to do dot product in-place:
np.column_stack([np.dot(A, B**(i)) for i in range(len(B))])",2022-11-26 20:03:02Z,0
140,,74584854,,,,,
141,74585197,74584848,Dragon Lord,14765080,"Yeah, turns out that as @forpas said, the problem with the app was a matter of resetting the device. However, as I had no idea how to do that, or even that it was necessary, I kept on trying even though nothing worked, even though a better term would be ""wiping"" the app, as the way to do it seems to be the ""wipe data"" setting.",2022-11-26 19:56:39Z,0
142,74586489,74584847,Ethan,6797953,"I think the problem is that only one of your data files gives a specific date.
If you read in time data using format ""%H:%M:%S"" (no year/date given) then the times are assumed to be relative to the epoch date 1-Jan-1970. So those data points come out 52 years off from the 2022 data points.
Option 1:
If all the data points in both files are from the same day, then I suggest the easiest thing to do is skip the date information in the file where it is present. I.e.
set timefmt ""%H:%M:%S""
set xrange [""17:20:00"":""18:47:00""]
plot 'xxx.csv' using (timecolumn(2, ""2022-11-24 %H:%M:%S"")):4 title ""aaa"" \
     'yyy.csv' using (timecolumn(1, ""%H:%M:%S"")):2 title ""bbb""
The string ""2022-11-24"" must match on input for the first file but it doesn't actually contribute to the date calculation.
Option 2:
If you really do care about the date, or if the first file spans multiple dates so that a constant string cannot match, then you could instead add a date component to the time string in the second file by concatenating a string constant containing the date.
myfmt = ""%Y-%m-%d %H:%M:%S""
set timefmt ""%Y-%m-%d %H:%M:%S""
set xrange [""2022-11-24 17:20:00"":""2022-11-24 18:47:00""]
plot 'xxx.csv' using (timecolumn(2, myfmt)):4 title ""aaa"" lt 7 lc 7 with lp, \
     'yyy.csv' using (strptime(myfmt,""2022-11-24 "".strcol(1))):2 title ""bbb"" lt 3 lc 6 with lp ",2022-11-26 23:55:17Z,1
143,closed,74584841,closed,closed,closed,closed,closed
144,74585034,74584840,Vasiliy Artamonov,12320578,"To call a function setKey with e as an argument, you have to do it like so:
const setKeyStack = setKey(e);",2022-11-26 19:29:13Z,0
145,74585017,74584840,fabioresner,2320630,"I'm not sure if I understood your question but I'll try to help :)
I believe you're trying to call a setKey method that is inside a Graph class from a forEach loop, correct? As I don't have the entire context, I tried to simplify the code and check if that works for you:
class Graph {
    constructor() {}

    setKey(key) {
        console.log(key);
    }
}

function main() {
    let vertices = [];
    let graph = new Graph();

    vertices.push(graph);

    vertices.forEach((e) => {
        e.setKey('new key');
    });
}

main();
If you run this code the 'new key' will be logged, showing that the setKey method was successfully invoked inside the forEach loop. Was that what you're trying to achieve?
If you need something more specific please post your whole code! Hope that helps :)",2022-11-27 15:25:46Z,0
146,,74584839,,,,,
147,74584875,74584836,siIverfish,20480866,"You have to put numbers += 1 or numbers = numbers + 1 instead of numbers + 1 if you want to update the variable.
When python sees numbers + 1, it just evaluates that line, gets 2, and does nothing with that value. If you don't have an = sign, the variable will not be changed.",2022-11-26 19:04:51Z,1
148,74584883,74584836,Sam,16660603,"I don't think you realize, but there's a silly typo in your code. After assigning the value to dictionary, you increasing the count of numbers, but not assigning it. So, just use += assignment operator.
counting = {}
numbers = 1


for i in range(1, 11):
    counting[numbers] = (i)
    numbers += 1

print(counting)
O/P:
{1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9, 10: 10}",2022-11-26 19:05:28Z,1
149,,74584833,,,,,
150,closed,74584832,closed,closed,closed,closed,closed
151,11566296,11556958,davidism,400617,"The form tag needs some attributes set:
action: The URL that the form data is sent to on submit. Generate it with url_for. It can be omitted if the same URL handles showing the form and processing the data.
method=""post"": Submits the data as form data with the POST method. If not given, or explicitly set to get, the data is submitted in the query string (request.args) with the GET method instead.
enctype=""multipart/form-data"": When the form contains file inputs, it must have this encoding set, otherwise the files will not be uploaded and Flask won't see them.
The input tag needs a name parameter.
Add a view to handle the submitted data, which is in request.form under the same key as the input's name. Any file inputs will be in request.files.
@app.route('/handle_data', methods=['POST'])
def handle_data():
    projectpath = request.form['projectFilepath']
    # your code
    # return a response
Set the form's action to that view's URL using url_for:
<form action=""{{ url_for('handle_data') }}"" method=""post"">
    <input type=""text"" name=""projectFilepath"">
    <input type=""submit"">
</form>",2020-11-30 03:22:44Z,208
152,30699653,11556958,Gelldur,1052261,"You need a Flask view that will receive POST data and an HTML form that will send it.
from flask import request

@app.route('/addRegion', methods=['POST'])
def addRegion():
    ...
    return (request.form['projectFilePath'])
   
<form action=""{{ url_for('addRegion') }}"" method=""post"">
    Project file path: <input type=""text"" name=""projectFilePath""><br>
    <input type=""submit"" value=""Submit"">
</form>",2022-08-12 12:45:24Z,70
153,,74584829,,,,,
154,74586839,74584828,Eric Marceau,9716110,"For the record, I tried the following basic script,
#!/usr/bin/python3.8
print('\033[35m\033[K' + 'hello world' + '\033[m\033[K')
and I got the result which you were likely looking for, namely
Since you mentioned bash, to get what you wanted, you need to read the section of the bash man page for printf more closely.
The round brackets are used in AWK, C, others. Bash shows no mention of round brackets in the usage syntax. However, you need to add a ""format"" specifier (NOT same as AWK), but per the man page.
Your statement should be reworked to show as this:
printf ""%b\n"" ""\033[35m\033[K"" ""hello world"" ""\033[m\033[K""
OR ... you could just replace the printf ""%b\n"" with simply echo -e to get the same result.
Of possible interest, I also created for myself what I call a ""Bourne Header"" file, in which I defined some preset combinations with variable strings that can be re-used in other scripts by simply source'ing the *.bh file. I include it here for general usage.
#!/bin/sh

##########################################################################################################
### $Id: INCLUDES__TerminalEscape_SGR.bh,v 1.2 2022/09/03 01:57:31 root Exp root $
###
### This includes string variables defined to perform various substitutions for the ANSI Terminal Escape Sequences, i.e. SGR (Select Graphic Rendition subset)
##########################################################################################################

### REFERENCE:  https://en.wikipedia.org/wiki/ANSI_escape_code
###             https://www.ecma-international.org/publications-and-standards/standards/ecma-48/

### ""\e"" is same as ""\033""

style_e()
{
boldON=""\e[1m""
boldOFF=""\e[0m""

italicON=""\e[3m""
italicOFF=""\e[0m""

underlineON=""\e[4m""
underlineOFF=""\e[0m""

blinkON=""\e[5m""
blinkOFF=""\e[0m""

cyanON=""\e[96;1m""
cyanOFF=""\e[0m""

cyanDarkON=""\e[36;1m""
cyanDarkOFF=""\e[0m""

greenON=""\e[92;1m""
greenOFF=""\e[0m""

yellowON=""\e[93;1m""
yellowOFF=""\e[0m""

redON=""\e[91;1m""
redOFF=""\e[0m""

orangeON=""\e[33;1m""
orangeOFF=""\e[0m""

blueON=""\e[94;1m""
blueOFF=""\e[0m""

blueSteelON=""\e[34;1m""
blueSteelOFF=""\e[0m""

darkBlueON=""\e[38;2;95;95;255m""
darkBlueOFF=""\e[0m""

magentaON=""\e[95;1m""
magentaOFF=""\e[0m""
}

style_o()
{
boldON=""\033[1m""
boldOFF=""\033[0m""

italicON=""\033[3m""
italicOFF=""\033[0m""

underlineON=""\033[4m""
underlineOFF=""\033[0m""

blinkON=""\033[5m""
blinkOFF=""\033[0m""

cyanON=""\033[96;1m""
cyanOFF=""\033[0m""

cyanDarkON=""\033[36;1m""
cyanDarkOFF=""\033[0m""

greenON=""\033[92;1m""
greenOFF=""\033[0m""

yellowON=""\033[93;1m""
yellowOFF=""\033[0m""

redON=""\033[91;1m""
redOFF=""\033[0m""

orangeON=""\033[33;1m""
orangeOFF=""\033[0m""

blueON=""\033[94;1m""
blueOFF=""\033[0m""

blueSteelON=""\033[34;1m""
blueSteelOFF=""\033[0m""

darkBlueON=""\033[38;2;95;95;255m""
darkBlueOFF=""\033[0m""

magentaON=""\033[95;1m""
magentaOFF=""\033[0m""
}

#style_e
style_o

##########################################################################################################
### Usage Examples:
##########################################################################################################

#   echo ""\t RSYNC process is ${redON}not${redOFF} running (or has already ${greenON}terminated${greenOFF}).\n""
#   echo ""\t ${PID} is ${cyanON}${italicON}${descr}${italicOFF}${cyanOFF} process ...""
#   echo ""\t ${PID} is ${yellowON}${descr}${yellowOFF} process ...""
#   echo ""\n\n\t RSYNC process (# ${pid}) has ${greenON}completed${greenOFF}.\n""

##########################################################################################################
### Example of scenario where escape codes are hard-coded; \e was not accepted by awk
##########################################################################################################

#   echo ""\n\t ${testor}\n"" | sed 's+--+\n\t\t\t\t\t\t\t\t--+g' | awk '{
#       rLOC=index($0,""rsync"") ;
#       if( rLOC != 0 ){
#           sBeg=sprintf(""%s"", substr($0,1,rLOC-1) ) ;
#           sEnd=sprintf(""%s"", substr($0,rLOC+5) ) ;
#           sMid=""\033[91;1mrsync\033[0m"" ;
#           printf(""%s%s%s\n"", sBeg, sMid, sEnd) ;
#       }else{
#           print $0 ;
#       } ;
#   }'

##########################################################################################################
    echo ""\n\t Imported LIBRARY:  INCLUDES__TerminalEscape_SGR.bh ...""
##########################################################################################################
You could likewise define your own set of preset escape sequences as formatting variables.",2022-11-27 01:52:32Z,0
155,74585831,74584827,Skin_phil,13258195,"So one way is to have a class for each element. Put all the classes in a array like the text and assign the relative classes to the relative element’s classlist. But if you have an undefined number of elements and each of these needs a different class you might want to have a common class for the common features and modify the styles based on each paragraphs needs.
const texts = [
  ""Paragraph: 1"",
  ""Paragraph: 2"",
  ""Paragraph: 3"",
  ""Paragraph: 4"",
  ""Paragraph: 5"",
  ""Paragraph: 6"",
  ""Paragraph: 7"",
  ""Paragraph: 8"",
  ""Paragraph: 9"",
  ""Paragraph: 10""
];
const classes = [
  ""red gray-bg font-1"",
  ""blue font-2"",
   ""red"",
  ""blue"",
   ""red"",
  ""blue"",
   ""red"",
  ""blue"",
   ""red"",
  ""blue"",
  
];
// Keeps Track of Current Text
let currentParaIdx = 0;

document.addEventListener(""click"", (e) => {
  // Stop once All Texts are Displayed
  if (currentParaIdx === texts.length) return;

  const { clientX, clientY } = e; //get the click position

  //create the div
  const div = document.createElement(""div"");

  //set its text
  div.innerText = texts[currentParaIdx];


  //set its position and position style
  div.classList=classes[currentParaIdx];
  div.style.position = ""absolute"";
  div.style.left = clientX + ""px"";
  div.style.top = clientY + ""px"";
  currentParaIdx++;
  document.body.append(div); //add div to the page
});
.red{color:red}
.blue{color:blue}
.gray-bg{ background:darkgreen;}
/*CHANGE TEXT TO ELEMENT TO THIS CLASS*/
.font-1{font-style:italic; font-family:'system-ui'}
.font-2{font-style:italic; font-family:'serif'}
/*CHANGE TEXT TO ALL ELEMENTS*/
*{  font-family: Arial, Helvetica, sans-serif;}
Run code snippetExpand snippet",2022-11-27 22:18:08Z,1
156,page note found,74584826,page note found,page note found,page note found,page note found,page note found
157,74585517,74584824,Littlefoot,9097906,"As usual, it helps if you post what you have (in this case, control file, table description and sample data). Without it, we have to guess and that doesn't have to reflect reality.
Sample table:
SQL> create table test
  2    (id          number,
  3     description varchar2(50));

Table created.
Control file (contains sample data):
load data
infile *
replace
continueif next preserve(1:1) != ""|""
into table test
fields terminated by '|'
trailing nullcols

(
  dummy filler,
  id,
  description 
)

begindata
|1|this is some text 
with no meaning 
at all
|2|some 
more text
Loading session:
SQL> $sqlldr scott/tiger@pdb1 control=test11.ctl log=test11.log

SQL*Loader: Release 21.0.0.0.0 - Production on Sat Nov 26 21:51:53 2022
Version 21.3.0.0.0

Copyright (c) 1982, 2021, Oracle and/or its affiliates.  All rights reserved.

Path used:      Conventional
Commit point reached - logical record count 1
Commit point reached - logical record count 2

Table TEST:
  2 Rows successfully loaded.

Check the log file:
  test11.log
for more information about the load.
Result:
SQL> select * from test;

        ID DESCRIPTION
---------- --------------------------------------------------
         1 this is some text with no meaning at all
         2 some more text

SQL>
[EDIT] Using piece of code @p3consulting suggested: no difference (at least, not in my 21XE database):
Control file (modified line #2, the infile one):
load data
infile * ""STR X'220D0A'""
replace
continueif next preserve(1:1) != ""|""
into table test
fields terminated by '|'
trailing nullcols

(
  dummy filler,
  id,
  description 
)

begindata
|1|this is some text 
with no meaning 
at all
|2|some 
more text
Loading session:
SQL> $sqlldr scott/tiger@pdb1 control=test11.ctl log=test11.log

SQL*Loader: Release 21.0.0.0.0 - Production on Sun Nov 27 12:34:04 2022
Version 21.3.0.0.0

Copyright (c) 1982, 2021, Oracle and/or its affiliates.  All rights reserved.

SQL*Loader-283: file processing string ""STR X'220D0A'"" ignored for INFILE *
Path used:      Conventional
Commit point reached - logical record count 1
Commit point reached - logical record count 2

Table TEST:
  2 Rows successfully loaded.

Check the log file:
  test11.log
for more information about the load.
Result: no difference:
SQL> select * from test;

        ID DESCRIPTION
---------- --------------------------------------------------
         1 this is some text with no meaning at all
         2 some more text

SQL>
[EDIT #2: removed CONTINUEIF]
load data
infile * ""STR X'220D0A'""
replace
into table test
<snip>
begindata 
<snip>
Loading session:
SQL> $sqlldr scott/tiger@pdb1 control=test11.ctl log=test11.log

SQL*Loader-283: file processing string ""STR X'220D0A'"" ignored for INFILE *
<snip>
Ah! I should've read the message, Oracle says it all:
file processing string ""STR X'220D0A'"" ignored for INFILE
So: with a new control file:
load data
infile ""c:\temp\test11.txt"" ""STR X'220D0A'""
replace
into table test
fields terminated by '|'
trailing nullcols

(
  dummy filler,
  id,
  description 
)
and data in a separate, test11.txt file:
|1|this is some text 
with no meaning 
at all
|2|some 
more text
Loading session:
<snip>
Commit point reached - logical record count 1

Table TEST:
  1 Row successfully loaded.

Check the log file:
  test11.log
for more information about the load.
Result:
SQL> select * from test;

        ID DESCRIPTION
---------- --------------------------------------------------
         1 this is some text
           with no meaning
           at all


SQL>
That looks A LOT better now!
Though, row#2 is missing. Log file doesn't say anything about it:
SQL> $type test11.log

SQL*Loader: Release 21.0.0.0.0 - Production on Sun Nov 27 15:30:39 2022
Version 21.3.0.0.0

Copyright (c) 1982, 2021, Oracle and/or its affiliates.  All rights reserved.

Control File:   test11.ctl
Data File:      c:\temp\test11.txt
  File processing option string: ""STR X'220D0A'""
  Bad File:     test11.bad
  Discard File:  none specified

 (Allow all discards)

Number to load: ALL
Number to skip: 0
Errors allowed: 50
Bind array:     250 rows, maximum of 1048576 bytes
Continuation:    none specified
Path used:      Conventional

Table TEST, loaded from every logical record.
Insert option in effect for this table: REPLACE
TRAILING NULLCOLS option in effect

   Column Name                  Position   Len  Term Encl Datatype
------------------------------ ---------- ----- ---- ---- ---------------------
DUMMY                               FIRST     *   |       CHARACTER
  (FILLER FIELD)
ID                                   NEXT     *   |       CHARACTER
DESCRIPTION                          NEXT     *   |       CHARACTER


Table TEST:
  1 Row successfully loaded.
  0 Rows not loaded due to data errors.
  0 Rows not loaded because all WHEN clauses were failed.
  0 Rows not loaded because all fields were null.


Space allocated for bind array:                 129000 bytes(250 rows)
Read   buffer bytes: 1048576

Total logical records skipped:          0
Total logical records read:             1
Total logical records rejected:         0
Total logical records discarded:        0

Run began on Sun Nov 27 15:30:39 2022
Run ended on Sun Nov 27 15:30:39 2022

Elapsed time was:     00:00:00.17
CPU time was:         00:00:00.11

SQL>
No bad nor discard file:
SQL> $type test11.bad
The system cannot find the file specified.

SQL> $del test11.dsc
Could Not Find c:\temp\test11.dsc

SQL>
The input file looks like this (when all characters are displayed):
[FINALLY]
p3consulting: 22 is not the hex for | ... it's 7C... but you need to finish the record by |CRLF... your rows end with only CRLF.
Bingo!
Control file:
load data
infile ""c:\temp\test11.txt"" ""STR X'7C0D0A'""
replace
into table test
fields terminated by '|'
trailing nullcols

(
  dummy filler,
  id,
  description 
)
Test11.txt:
|1|this is some text 
with no meaning 
at all|
|2|some 
more text|
Loading:
SQL> $sqlldr scott/tiger@pdb1 control=test11.ctl log=test11.log

SQL*Loader: Release 21.0.0.0.0 - Production on Sun Nov 27 17:11:21 2022
Version 21.3.0.0.0

Copyright (c) 1982, 2021, Oracle and/or its affiliates.  All rights reserved.

Path used:      Conventional
Commit point reached - logical record count 2

Table TEST:
  2 Rows successfully loaded.

Check the log file:
  test11.log
for more information about the load.
Result:
SQL> select * From test;

        ID DESCRIPTION
---------- --------------------------------------------------
         1 this is some text
           with no meaning
           at all

         2 some
           more text


SQL>",2022-11-27 16:13:28Z,1
158,74585851,74584824,p3consulting,4956336,"Try
INFILE 'target.dat' ""STR X'220D0A'""
The terminator_string is specified as either 'char_string' or X'hex_string' where:
'char_string' is a string of characters enclosed in single or double quotation marks X'hex_string' is a byte string in hexadecimal format that you can get with the cast_to_raw function.
So here X'220D0A' is ""|CRLF"" and this will keep the ""CRLF"" in the imported column.",2022-11-26 21:53:26Z,0
159,74592124,74584819,Nino,13541290,"I was able to solve this by passing the function parameters while invoking the function. The only difference is that when invoking the function with parameters in React, I had to invoke it like an arrow function '() => slider('scroll-tray', 'left')' in order for it to work.",2022-11-27 17:13:20Z,0
160,74585080,74584817,Krelq,15000290,"        message.channel.send({
            embeds: [new EmbedBuilder()
                .setTitle('Some title')
                .setImage('https://media.discordapp.net/attachments/1044759244861345862/1045783400193204335/ezgif.com-gif-maker_1.gif')],
        });
This works because you send your embed packed in ""embeds"" object.
Edit your code and add ""embeds"" object.
const random = embeds[Math.floor(Math.random() * embeds.length)]


message.channel.send({
        embeds: [random],
});",2022-11-26 19:35:27Z,0
161,74584852,74584816,Clegane,15415267,"can you try this:
df['len']=df['column name'].str.count('#') #how many ""#"" expressions are in the column.

df=df[df[""len""]>1]

#or one line

df=df[df['column name'].str.count('#')>1]",2022-11-26 19:07:43Z,0
162,74584995,74584816,solac34,20554831,"if each of them have at least one '#' , and its either ## or #,
df[df[""column name""].str.contains(""##"") == False]
above code will get you one #  ones.
df[df[""column name""].str.contains(""##"") == True]
above code will eliminate #'s and get you ## ones.",2022-11-26 19:23:46Z,0
163,,74584815,,,,,
164,page note found,74584814,page note found,page note found,page note found,page note found,page note found
165,,74584813,,,,,
166,74585080,74584817,Krelq,15000290,"        message.channel.send({
            embeds: [new EmbedBuilder()
                .setTitle('Some title')
                .setImage('https://media.discordapp.net/attachments/1044759244861345862/1045783400193204335/ezgif.com-gif-maker_1.gif')],
        });
This works because you send your embed packed in ""embeds"" object.
Edit your code and add ""embeds"" object.
const random = embeds[Math.floor(Math.random() * embeds.length)]


message.channel.send({
        embeds: [random],
});",2022-11-26 19:35:27Z,0
167,74584852,74584816,Clegane,15415267,"can you try this:
df['len']=df['column name'].str.count('#') #how many ""#"" expressions are in the column.

df=df[df[""len""]>1]

#or one line

df=df[df['column name'].str.count('#')>1]",2022-11-26 19:07:43Z,0
168,74584995,74584816,solac34,20554831,"if each of them have at least one '#' , and its either ## or #,
df[df[""column name""].str.contains(""##"") == False]
above code will get you one #  ones.
df[df[""column name""].str.contains(""##"") == True]
above code will eliminate #'s and get you ## ones.",2022-11-26 19:23:46Z,0
169,,74584815,,,,,
170,page note found,74584814,page note found,page note found,page note found,page note found,page note found
171,,74584813,,,,,
172,74585207,74584811,user2297996,2297996,"This cannot be done using just JSON. You have to create a class type and use that as follows:
@IsBoolean()
someBool: boolean

@IsString()
someStr: string

@ValidateNested()
@Type(() => SomeClass)
someObject: SomeClass
And in SomeClass you also add validation decorators to the props.",2022-11-26 19:57:48Z,0
173,,74584810,,,,,
174,,74584807,,,,,
175,74585202,74584806,serafm,11353686,"If your data in file has this format:
Player1 wins with 30 points
Player2 wins with 40 points
Player3 wins with 85 points
Player5 wins with 45 points
Player7 wins with 10 points
Player6 wins with 80 points
Player4 wins with 20 points
Player9 wins with 90 points
Player8 wins with 70 points
Player11 wins with 120 points
Player10 wins with 15 points
and there is no space in the first line of the file, because you have text_file.write(""\n"") written in the first line. Please add it at the end of the line, i.e the last file write.
For example:
text_file.write(name)
text_file.write ("" wins with "")
text_file.write (score)
text_file.write ("" points"")
text_file.write(""\n"")
Here is how to get the 5 highest scores of the file:
text_file = open('CH30.txt.', 'r')
Lines = text_file.readlines()
PlayersScores = []

# read each line get the player name and points 
for line in Lines:
    # split the line into list of strings
    line = line.split("" "")
    # removing \n from last element
    line[-1] = line[-1].replace(""\n"", """")
    print(line)
    # find player name position
    playerName = line.index(""wins"") - 1
    # find points position
    points = line.index(""points"") - 1
    # add the tuple (playerName, points) in a list
    PlayersScores.append((line[playerName], line[points]))
# descending order sort by player score
PlayersScores = sorted(PlayersScores, key=lambda t: t[1], reverse=True)

# get the first 5 players
print(""Highest Scores:\n"")
for i in range(5):
    print(str(i+1) + "". "" + PlayersScores[i][0] + "" "" + PlayersScores[i][1] + "" points"")
Output example:
Highest Scores:

1. Player11 120 points
2. Player9 90 points
3. Player3 85 points
4. Player6 80 points
5. Player8 70 points",2022-11-27 08:23:53Z,1
176,74584961,74584806,Ni3dzwi3dz,12768056,"First of all, you should read the file to a list of lines. If you don`t know how to do this, check:
How to read a file line-by-line into a list?
Next, you have to sort the lines. We can use lambda to achieve it. Assuming, that the single line looks like this:
""Rick wins with 98 points""
Sorting function would look like this:
scores.sort(key= lambda x : int(x.split("" "")[3]))
Then, you just need to slice the last five elements.
Please note, this solution is prone to many errors, as you use the file in human-readable format. What's easily readable for us, is often hard to read by computer (and vice versa). So, if you don't want to use the file as a bedtime reading, consider using some formats, that are easier to parse - i.e. CSV",2022-11-26 19:18:48Z,0
177,74585866,74584805,jdweng,5015238,"Only way I know is to recursively go through the folder instead of using SearchOption.AllDirectories. See code below for example. Code below is creating an Xml file of all file/folders. Folder is the root where to start search.
using System;
using System.Collections.Generic;
using System.Linq;
using System.Text;
using System.Xml;
using System.Xml.Linq;
using System.IO;

namespace SAveDirectoriesXml
{
    class Program
    {
        const string FILENAME = @""c:\temp\test.xml"";
        const string FOLDER = @""c:\temp"";
        static XmlWriter writer = null;
        static void Main(string[] args)
        {
            XmlWriterSettings settings = new XmlWriterSettings();
            settings.Indent = true;

            writer = XmlWriter.Create(FILENAME, settings);
            writer.WriteStartDocument(true);

            DirectoryInfo info = new DirectoryInfo(FOLDER);
            WriteTree(info);
            
            writer.WriteEndDocument();
            writer.Flush();
            writer.Close();
            Console.WriteLine(""Enter Return"");
            Console.ReadLine();

        }
        static long WriteTree(DirectoryInfo info)
        {
            long size = 0;
            writer.WriteStartElement(""Folder"");
            try
            {
                writer.WriteAttributeString(""name"", info.Name);
                writer.WriteAttributeString(""numberSubFolders"", info.GetDirectories().Count().ToString());
                writer.WriteAttributeString(""numberFiles"", info.GetFiles().Count().ToString());
                writer.WriteAttributeString(""date"", info.LastWriteTime.ToString());
             

                foreach (DirectoryInfo childInfo in info.GetDirectories())
                {
                    size += WriteTree(childInfo);
                }
                
            }
            catch (Exception ex)
            {
                string errorMsg = string.Format(""Exception Folder : {0}, Error : {1}"", info.FullName, ex.Message);
                Console.WriteLine(errorMsg);
                writer.WriteElementString(""Error"", errorMsg);
            }

            FileInfo[] fileInfo = null;
            try
            {
                fileInfo = info.GetFiles();
            }
            catch (Exception ex)
            {
                string errorMsg = string.Format(""Exception FileInfo : {0}, Error : {1}"", info.FullName, ex.Message);
                Console.WriteLine(errorMsg);
                writer.WriteElementString(""Error"",errorMsg);
            }

            if (fileInfo != null)
            {
                foreach (FileInfo finfo in fileInfo)
                {
                    try
                    {
                        writer.WriteStartElement(""File"");
                        writer.WriteAttributeString(""name"", finfo.Name);
                        writer.WriteAttributeString(""size"", finfo.Length.ToString());
                        writer.WriteAttributeString(""date"", info.LastWriteTime.ToString());
                        writer.WriteEndElement();
                        size += finfo.Length;
                    }
                    catch (Exception ex)
                    {
                        string errorMsg = string.Format(""Exception File : {0}, Error : {1}"", finfo.FullName, ex.Message);
                        Console.WriteLine(errorMsg);
                        writer.WriteElementString(""Error"", errorMsg);
                    }
                }
            }

            writer.WriteElementString(""size"", size.ToString());
            writer.WriteEndElement();
            return size;

        }
    }
}
Share
Edit",2022-11-26 21:55:46Z,1
